Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender
Kyungho,Jang Kyungho,장경호,경호,7/5/2001,TOO,1/4/2020,n.CH,South Korea,,,,,,,M
Minsu,Kim Minsu,김민수,민수,20/03/2000,TOO,1/4/2020,n.CH,South Korea,,,,,,,M
Sangdo,Yoo Sangdo,유상도,상도,2/3/1993,Topp Dogg,1/4/2020,n.CH,South Korea,,,,Incheon,,,M
Woonggi,Cha Woonggi,차웅기,웅기,23/04/2002,TOO,1/4/2020,n.CH,South Korea,,,,,,,M
Xero,Shin Jiho,신지호,제로,3/2/1994,Topp Dogg,1/4/2020,n.CH,South Korea,,,,Gwangji,,,M
Yano,Seo Sangwon,서상원,야노,27/09/1995,Topp Dogg,1/4/2020,n.CH,South Korea,,,,Seoul,,,M
Eseo,Noh Hyunjung,노현정,이서,4/3/1996,LUNARSOLAR,2/9/2020,J Planet,South Korea,,161,,,,,F
Jian,Kwon Jieun,권지은,지안,14/03/2001,LUNARSOLAR,2/9/2020,J Planet,South Korea,,,,,,S.E.T,F
Taeryeong,Lim Jeongmin,임정민,태령,27/12/2000,LUNARSOLAR,2/9/2020,J Planet,South Korea,,,,,,,F
Yuuri,Tokunaga Yuuri,도쿠나가 유우리,유우리,16/05/2001,LUNARSOLAR,2/9/2020,J Planet,Japan,,,,,,,F
D1,Jang Dongil,장동일,디원,15/02/1998,DKB,3/2/2020,Brave,South Korea,,174,59,,,,M
E-Chan,Lee Changmin,이창민,이찬,19/02/1997,DKB,3/2/2020,Brave,South Korea,,178,63,,,,M
GK,Kim Kwanghyun,김광현,지케이,29/09/1998,DKB,3/2/2020,Brave,South Korea,,177,60,,,,M
Harry-June,Han Harry-June,한해리준,해리준,1/1/2004,DKB,3/2/2020,Brave,South Korea,,178,61,,,,M
Heechan,Yang Heechan,양희찬,희찬,31/07/1999,DKB,3/2/2020,Brave,South Korea,,176,63,,,,M
Junseo,Hwang Junseo,황준서,준서,16/01/2001,DKB,3/2/2020,Brave,South Korea,,182,67,,,,M
Lune,Jung Sungmin,정성민,룬,27/02/2000,DKB,3/2/2020,Brave,South Korea,,176,55,,,,M
Teo,Jang Sungsik,장성식,테오,22/10/1997,DKB,3/2/2020,Brave,South Korea,,177,64,,,,M
Yuku,Amanumu Yuku,아마누마 유쿠,유쿠,12/5/2002,DKB,3/2/2020,Brave,Japan,,176,55,,,,M
ChaeY,Song Chaeyeon,송채연,채이,6/1/2003,CRAXY,3/3/2020,SAITEINMENT,South Korea,,,,,,,F
Hyejin,Kang Hyejin,강혜진,혜진,13/07/2000,CRAXY,3/3/2020,SAITEINMENT,South Korea,,,,,,,F
Karin,Baek Yerin,백예린,카린,23/04/2000,CRAXY,3/3/2020,SAITEINMENT,South Korea,,,,,,,F
Swan,Kim Suan,김수안,수안,28/12/2000,CRAXY,3/3/2020,SAITEINMENT,South Korea,,,,,,,F
Woo-ah,Kim Chaewon,김채원,우아,20/06/1997,CRAXY,3/3/2020,SAITEINMENT,South Korea,,,,,,,F
Belle,Jin Hyeonjoo,진현주,벨,3/11/2001,Cignature,4/2/2020,C9,South Korea,,,,Goyang,,Good Day,F
Chaesol,Maeng Chaesol,맹채솔,채솔,14/07/1998,Cignature,4/2/2020,C9,South Korea,,,,Yeosu,,Good Day,F
Chloe,Yun Jiwon,윤지원,클로이,6/1/2001,Cignature,4/2/2020,C9,South Korea,,163,,Seoul,,,F
Dohee,Kwon Dohee,권도희,도희,1/8/2002,Cignature,4/2/2020,C9,South Korea,,158,39,Seoul,,,F
Jeewon,Kim Jiwon,김지원,지원,1/4/1999,Cignature,4/2/2020,C9,South Korea,,,,Busan,,Good Day,F
Seline,Jung Yeonjeong,정연정,셀린,20/06/2000,Cignature,4/2/2020,C9,South Korea,,,,,,,F
Semi,Gu Semi,구세미,세미,10/4/2002,Cignature,4/2/2020,C9,South Korea,,166,46,,,,F
Chaewon,Lee Chaewon,이채원,채원,18/03/2000,Maka Maka,4/8/2020,Dreamus,South Korea,,,,,,,F
Daseul,Yang Daseul,양다슬,다슬,14/09/2000,Maka Maka,4/8/2020,Dreamus,South Korea,,,,,,,F
Dia,Kwak Minnyeong,곽민녕,디아,3/9/1999,Maka Maka,4/8/2020,Dreamus,South Korea,,,,,,,F
EunB,Shin Eunbi,신은비,은비,17/09/2000,Maka Maka,4/8/2020,Dreamus,South Korea,,,,,,Lip Bubble,F
Heesu,Kim Heesu,김희수,희수,24/03/1998,Maka Maka,4/8/2020,Dreamus,South Korea,,,,,,,F
Daehyeon,Jang Daehyeon,장대현,대현,11/2/1997,WEi,5/10/2020,OUI,South Korea,,175,,,,RAINZ,M
Donghan,Kim Donghan,김동한,동한,3/7/1998,WEi,5/10/2020,OUI,South Korea,,,,Daegu,,JBJ,M
Junseo,Kim Junseo,김준서,준서,20/11/2001,WEi,5/10/2020,OUI,South Korea,,177,64,Ulsan,,1the9,M
Seokhwa,Kang Seokhwa,강석화,석화,1/12/2000,WEi,5/10/2020,OUI,South Korea,,172,56,,,,M
Yohan,Kim Yohan,김요한,요한,22/09/1999,WEi,5/10/2020,OUI,South Korea,,181,66,,,X1,M
Yongha,Yoo Yongha,유용하,용하,11/1/1999,WEi,5/10/2020,OUI,South Korea,,177,64,,,1the9,M
BEL,Choi Sunghoon,최성훈,벨,21/05/2000,DUSTIN,6/1/2020,LPA,South Korea,,,,,,,M
Daon,Ahn Seonil,안선일,다온,10/12/2000,DUSTIN,6/1/2020,LPA,South Korea,,,,,,,M
Hwani,Jo Sihyeon,조시환,화니,16/11/1994,DUSTIN,6/1/2020,LPA,South Korea,,,,,,,M
JJ,Jun Jihyeok,전진혁,제이제이,11/12/1998,DUSTIN,6/1/2020,LPA,South Korea,,,,,,,M
Kim Yoon,Kim Seongsu,김성수,김윤,17/02/1994,DUSTIN,6/1/2020,LPA,South Korea,,183,65,,,,M
Seunghan,Lee Seunghan,이승한,승한,22/02/1996,DUSTIN,6/1/2020,LPA,South Korea,,,,,,,M
Siu,Hwang Inseok,황인석,시우,19/05/1995,DUSTIN,6/1/2020,LPA,South Korea,,,,,,,M
Asahi,Hanada Asahi,하나다 아사히,아사히,20/08/2001,Treasure,7/8/2020,YG,Japan,,,,,,,M
Doyoung,Kim Doyoung,김도영,도영,4/12/2003,Treasure,7/8/2020,YG,South Korea,,,,,,,M
Haruto,Watanabe Haruto,와타나베 하루토,하루토,5/4/2004,Treasure,7/8/2020,YG,Japan,,,,,,,M
Hyunsuk,Choi Hyunsuk,최현석,현석,21/04/1999,Treasure,7/8/2020,YG,South Korea,,,,Daegu,,,M
Jaehyuk,Yoon Jaehyuk,윤재혁,재혁,23/07/2001,Treasure,7/8/2020,YG,South Korea,,,,,,,M
Jeongwoo,Park Jeongwoo,박정우,정우,28/09/2004,Treasure,7/8/2020,YG,South Korea,,,,,,,M
Jihoon,Park Jihoon,박지훈,지훈,14/03/2000,Treasure,7/8/2020,YG,South Korea,,,,Busan,,,M
Junghwan,So Junghwan,소정환,정환,18/02/2005,Treasure,7/8/2020,YG,South Korea,,,,,,,M
Junkyu,Kim Junkyu,김준규,준규,9/9/2000,Treasure,7/8/2020,YG,South Korea,,,,,,,M
Mashiho,Takata Mashiho,타카타 마시호,마시호,25/03/2001,Treasure,7/8/2020,YG,Japan,,,,,,,M
Yedam,Bang Yedam,방예담,예담,7/5/2002,Treasure,7/8/2020,YG,South Korea,,,,,,,M
Yoshi,Kanemoto Yoshinori,카네모토 요시노리,요시,15/05/2000,Treasure,7/8/2020,YG,Japan,,179,59,Kobe,,,M
Baekgyeul,Baek Sunwoo,백결,백선우,1/12/1999,E'LAST,9/6/2020,E Entertainment,South Korea,,180,61,,,,M
Choi In,Choi In,최인,최인,11/2/1996,E'LAST,9/6/2020,E Entertainment,South Korea,,170,50,,,,M
Rano,Byun Yongseop,변용섭,라노,10/12/1998,E'LAST,9/6/2020,E Entertainment,South Korea,,175,60,,,,M
Romin,Choi Youngmin,최영민,로민,24/04/2001,E'LAST,9/6/2020,E Entertainment,South Korea,,179,58,,,,M
Seungyeop,Choi Seungyeop,최승엽,승엽,8/5/1997,E'LAST,9/6/2020,E Entertainment,South Korea,,176,60,,,,M
Won Hyuk,Won Hyuk,원혁,원혁,22/02/2002,E'LAST,9/6/2020,E Entertainment,South Korea,,181,63,,,,M
Wonjun,Lee Wonjun,이원준,원준,8/3/2002,E'LAST,9/6/2020,E Entertainment,South Korea,,,,,,,M
Yejun,Oh Yejun,오예준,예준,23/08/2002,E'LAST,9/6/2020,E Entertainment,South Korea,,178,58,,,,M
Boa,Kim Boah,김보아,보아,14/01/1987,KEEMBO,10/4/2020,ARA-LINE,South Korea,,,,,,SPICA,F
Bohyung,Kim Bohyung,김보형,보형,31/03/1991,KEEMBO,10/4/2020,ARA-LINE,South Korea,,,,,SPICA-S,SPICA,F
Isa,Lee Chaeyoung,이채영,아이사,23/01/2002,STAYC,12/11/2020,Hi-Up,South Korea,,165,45,Busan,,,F
J,Jang Yeeun,장예은,제이,9/12/2004,STAYC,12/11/2020,Hi-Up,South Korea,,170,48,Daejeon,,,F
Seeun,Yoon Seeun,윤세은,세은,14/06/2003,STAYC,12/11/2020,Hi-Up,South Korea,,167,49,Pyeongtaek,,,F
Sieun,Park Sieun,박시은,시은,1/8/2001,STAYC,12/11/2020,Hi-Up,South Korea,,160,44,Seoul,,,F
Sumin,Bae Sumin,배수민,수민,13/03/2001,STAYC,12/11/2020,Hi-Up,South Korea,,159,46,Pohang,,,F
Yoon,Shim Jayoon,심자윤,윤,14/04/2004,STAYC,12/11/2020,Hi-Up,South Korea,,171,49,Gwangju,,,F
Gaeul,Kim Gaeul,김가을,가을,24/09/2002,IVE,1/12/2021,Starship,South Korea,,166,46,Incheon,,,F
Leeseo,Lee Hyunseo,이현서,이서,21/02/2007,IVE,1/12/2021,Starship,South Korea,,170,48,,,,F
Liz,Kim Jiwon,김지원,리즈,21/11/2004,IVE,1/12/2021,Starship,South Korea,,170,49,,,,F
Rei,Naoi Rei,나오이 레이,레이,3/2/2004,IVE,1/12/2021,Starship,Japan,,169,47,,,,F
Wonyoung,Jang Wonyoung,장원영,원영,31/08/2004,IVE,1/12/2021,Starship,South Korea,,,,Seoul,,IZ*ONE,F
Yujin,Ahn Yujin,안유진,유진,1/9/2003,IVE,1/12/2021,Starship,South Korea,,,,Cheongju,,IZ*ONE,F
Hyoyeon,Kim Hyoyeon,김효연,효연,22/09/1989,SNSD,4/8/2021,Good Luck,South Korea,,158,48,Incheon,,,F
Seohyun,Seo Joohyun,서주현 ,서현 ,28/06/1991,SNSD,4/8/2021,Good Luck,South Korea,,168,48,Seoul,TTS,,F
Sooyoung,Choi Sooyoung,최수영 ,수영 ,10/2/1990,SNSD,4/8/2021,Good Luck,South Korea,,170,48,Gwangju,,,F
Sunny,Lee Sunkyu,이순규 ,써니,15/05/1989,SNSD,4/8/2021,Good Luck,South Korea,,158,43,California,,,F
Taeyeon,Kim Taeyeon,김태연,태연,9/3/1989,SNSD,4/8/2021,Good Luck,South Korea,,160,44,Jeonju,TTS| Oh!GG,,F
Tiffany,Hwang Miyoung,황미영,티파니,1/8/1989,SNSD,4/8/2021,Good Luck,South Korea,USA,163,50,San Francisco,TTS,,F
Yoona,Im Yoona,임윤아 ,윤아,30/05/1990,SNSD,4/8/2021,Good Luck,South Korea,,166,47,Seoul,,,F
Yuri,Kwon Yuri,권유리 ,유리,5/12/1989,SNSD,4/8/2021,Good Luck,South Korea,,167,45,Goyang,,,F
A-min,Cho Minwoo,조민우,아민,22/05/2004,EPEX,8/6/2021,C9,South Korea,,175,54,Namyangju,,,M
Ayden,Kwon Yejun,권예준,에이든,24/01/2005,EPEX,8/6/2021,C9,South Korea,,174,55,,,,M
Baek Seung,Kim Hyunwoo,김현우,백승,5/10/2004,EPEX,8/6/2021,C9,South Korea,,186,64,Seoul,,,M
Jeff,Lee Jaeho,이재호,제프,21/04/2005,EPEX,8/6/2021,C9,South Korea,,179,61,,,,M
Keum,Keum Donghyun,금동현,금,14/05/2003,EPEX,8/6/2021,C9,South Korea,,176,57,Okcheon,,,M
Mu,Suh Kyungmin,서경민,뮤,14/09/2003,EPEX,8/6/2021,C9,South Korea,,184,63,,,,M
Wish,Kwak Dawit,곽다윗,위시,11/6/2002,EPEX,8/6/2021,C9,South Korea,,184,69,,,,M
Yewang,Seo Yewang,서예왕,예왕,12/3/2005,EPEX,8/6/2021,C9,South Korea,,180,64,,,,M
Chaerin,Park Chaerin,박채린,채린,31/03/2003,ICHILLIN',8/9/2021,KM,South Korea,,,,,,,F
Chowon,Kim Chowon,김초원,초원,18/08/2005,ICHILLIN',8/9/2021,KM,South Korea,,,,,,,F
E.Ji,Choi Jiwon,최지원,이지,8/11/2000,ICHILLIN',8/9/2021,KM,South Korea,,,,,,,F
Jackie,Kang Chaeyeon,강채연,재키,17/11/2001,ICHILLIN',8/9/2021,KM,USA,South Korea,,,Los Angeles,,,F
Jiyoon,Jeong Jiyoon,정지윤,지윤,15/09/2000,ICHILLIN',8/9/2021,KM,South Korea,,168,,,,,F
Joonie,Park Junhee,박준희,주니,24/05/2002,ICHILLIN',8/9/2021,KM,USA,South Korea,,,,,,F
Yeju,Kim Yeju,김예주,예주,1/2/2004,ICHILLIN',8/9/2021,KM,South Korea,,,,,,,F
Aki,Jang Minju,장민주,아키,12/2/2001,MAJORS,9/3/2021,ANS,South Korea,,168,48,,,,F
Bian,Yu Jiwon,유지원,비안,13/02/2001,MAJORS,9/3/2021,ANS,South Korea,,,,,,ANS,F
Ida,Ko Chaeyoung,고채영,아이다,19/05/2000,MAJORS,9/3/2021,ANS,South Korea,,163,43,,,,F
Shinye,Kam Yerim,감예림,신예,7/3/2004,MAJORS,9/3/2021,ANS,South Korea,,166,46,,,,F
Suzy,Kim Suji,김수지,수지,3/6/2001,MAJORS,9/3/2021,ANS,South Korea,,164,45,,,,F
Vita,Kim Jimin,김지민,비타,3/2/2000,MAJORS,9/3/2021,ANS,South Korea,,168,54,,,,F
Steven,Kim Steven,킴 스티븐,스티븐,17/01/2000,Luminous,9/9/2021,Barunson,South Korea,Australia,176,57,Sydney,,,M
Suil,Ma Suil,마수일,수일,30/03/1999,Luminous,9/9/2021,Barunson,South Korea,,170,50,Gwangju,,,M
Woobin,Jeong Woobin,정우빈,우빈,1/4/2000,Luminous,9/9/2021,Barunson,South Korea,,,,Busan,,,M
Youngbin,Jeong Youngbin,정영빈,영빈,5/10/1998,Luminous,9/9/2021,Barunson,South Korea,,172,55,Seongju,,,M
Chowon,Han Chowon,한초원,초원,16/09/2002,LIGHTSUM,10/6/2021,Cube,South Korea,,168,50,Seoul,,,F
Hina,Nagai Hina,나가이 히나,히나,7/4/2003,LIGHTSUM,10/6/2021,Cube,Japan,,,,Kanagawa,,,F
Juhyeon,Lee Juhyeon,이주현,주현,8/4/2004,LIGHTSUM,10/6/2021,Cube,South Korea,,171,48,,,,F
Nayoung,Kim Nayoung,김나영,나영,30/11/2002,LIGHTSUM,10/6/2021,Cube,South Korea,,154,43,Chuncheon,,,F
Sangah,Yoo Sangah,윤상아,상아,4/9/2002,LIGHTSUM,10/6/2021,Cube,South Korea,,168,,Incheon,,,F
Yujeong,Lee Yujeong,이유정,유정,14/06/2004,LIGHTSUM,10/6/2021,Cube,South Korea,,160,41,,,,F
Haram,Kim Haram,김하람,하람,13/01/2001,Billlie,10/11/2021,MYSTIC,South Korea,,161,45,,,,F
Haruna,Osato Haruna,오사토 하루나,하루나,30/01/2006,Billlie,10/11/2021,MYSTIC,Japan,,,,,,,F
Moon Sua,Moon Sua,문수아,문수아,9/9/1999,Billlie,10/11/2021,MYSTIC,South Korea,,167,47,Cheongju,,,F
Sheon,Kim Suyeon,김수연,션,28/01/2003,Billlie,10/11/2021,MYSTIC,South Korea,,162,,,,,F
Siyoon,Kim Siyoon,김시윤,시윤,16/02/2005,Billlie,10/11/2021,MYSTIC,South Korea,,168,,,,,F
Suhyeon,Kim Suhyun,김수현,수현,15/01/2000,Billlie,10/11/2021,MYSTIC,South Korea,,161,45,Daegu,,,F
Tsuki,Fukutomi Tsuki,후쿠토미 츠키,츠키,21/09/2002,Billlie,10/11/2021,MYSTIC,Japan,,,,,,,F
Dakyung,Jung Dakyung,정다경,다경,23/07/2001,Hi-L,11/8/2021,Kpop Live,South Korea,,,,,,,F
Hayun,Choi Hayun,최하윤,하윤,16/01/2004,Hi-L,11/8/2021,Kpop Live,South Korea,,,,Seoul,,,F
JooA,Lee Juhyun,이주현,주아,4/3/2002,Hi-L,11/8/2021,Kpop Live,South Korea,,173,,,,,F
Lee Jin,Shim Yerin,심예린,이진,12/3/2001,Hi-L,11/8/2021,Kpop Live,South Korea,,,,,,,F
Soojung,Hwang Soojung,황수정,수정,10/5/2001,Hi-L,11/8/2021,Kpop Live,South Korea,,169,47,Yongin,,,F
Yeseul,Kim Yeseul,김예슬,예슬,24/03/2004,Hi-L,11/8/2021,Kpop Live,South Korea,,,,,,,F
Chris,Han Chris,한 크리스,크리스,19/11/2002,BLITZERS,12/5/2021,Wuzo,South Korea,,,,,,,M
Go_U,Jang Junho,고유,장준호,15/06/2001,BLITZERS,12/5/2021,Wuzo,South Korea,,,,,,,M
Jinhwa,Choi Jinhwa,최진화,진화,15/01/2002,BLITZERS,12/5/2021,Wuzo,South Korea,,180,64,,,,M
Juhan,Hong Seunghyun,홍승현,주한,21/06/2001,BLITZERS,12/5/2021,Wuzo,South Korea,,,,,,,M
Lutan,Choi Gyeongseok,최경석,루탄,6/12/2003,BLITZERS,12/5/2021,Wuzo,South Korea,,,,,,,M
Sya,Lee Junyoung,이준영,샤,9/9/2002,BLITZERS,12/5/2021,Wuzo,South Korea,,,,,,,M
Wooju,Cho Wooju,조우주,우주,21/01/2004,BLITZERS,12/5/2021,Wuzo,South Korea,,,,,,,M
Bahiyyih,Huening Bahiyyih,휴닝바히에,바히에,27/07/2004,Kep1er,1/3/2022,WakeOne,USA,South Korea,166,,,,,F
Chaehyun,Kim Chaehyun,김채현,채현,26/04/2002,Kep1er,1/3/2022,WakeOne,South Korea,,160,,,,,F
Dayeon,Kim Dayeon,김다연,다연,2/3/2003,Kep1er,1/3/2022,WakeOne,South Korea,,158,,,,,F
Hikaru,Ezaki Hikaru,에자키 히카루,히카루,12/3/2004,Kep1er,1/3/2022,WakeOne,Japan,,155,,,,,F
Mashiro,Sakamoto Mashiro,사카모토 마시로,마시로,16/12/1999,Kep1er,1/3/2022,WakeOne,Japan,,157,,,,,F
XiaoTing,Shen Xiao Ting,션샤오팅,샤오팅,12/11/1999,Kep1er,1/3/2022,WakeOne,China,,168,,,,,F
Yeseo,Kang Yeseo,강예서,예서,22/08/2005,Kep1er,1/3/2022,WakeOne,South Korea,,157,,,,Busters,F
Youngeun,Seo Youngeun,서영은,영은,27/12/2004,Kep1er,1/3/2022,WakeOne,South Korea,,159,,,,,F
Yujin,Choi Yujin,최유진,유진,12/8/1996,Kep1er,1/3/2022,WakeOne,South Korea,,164,,Jeonju,,CLC,F
Bao,Bae Sungyeob,배성엽,바오,12/5/1996,XEED,1/12/2022,Nature Space,South Korea,,182,63,,,LUCENTE,M
Doha,Park Doha,박도하,도하,27/03/1992,XEED,1/12/2022,Nature Space,South Korea,,175,65,Seoul,,,M
Jaemin,Shin Jaemin,신재민,재민,8/6/1996,XEED,1/12/2022,Nature Space,South Korea,,,,,,,M
Eunchan,Choi Byeongseop,최병섭,은찬,27/02/2001,TEMPEST,2/3/2022,Yuehua,South Korea,,184,,,,,M
Hanbin,Ngo Ngoc Hung,응오 응옥 흥,한빈,19/01/1998,TEMPEST,2/3/2022,Yuehua,Vietnam,,176,,,,,M
Hwarang,Son Jaewon,송재원,화랑,23/04/2001,TEMPEST,2/3/2022,Yuehua,South Korea,,179,61,,,,M
Hyuk,Koo Bonhyuk,구본혁,혁,17/04/2000,TEMPEST,2/3/2022,Yuehua,South Korea,,,,,,,M
Hyungseop,Ahn Hyungseop,안형섭,형섭,9/8/1999,TEMPEST,2/3/2022,Yuehua,South Korea,,173,58,,HyeongseopXEuiwoong,,M
Lew,Lee Euiwoong,이의웅,루,5/4/2001,TEMPEST,2/3/2022,Yuehua,South Korea,,170,55,,HyeongseopXEuiwoong,,M
Taerae,Kim Taerae,김태래,태래,5/9/2002,TEMPEST,2/3/2022,Yuehua,South Korea,,,,,,,M
Chaewon,Kim Chaewon,김채원,채원,1/8/2000,LE SSERAFIM,2/5/2022,Source,South Korea,,,,Seoul,,IZ*ONE,F
Eunchae,Hong Eunchae,홍은채,은채,10/11/2006,LE SSERAFIM,2/5/2022,Source,South Korea,,172,,,,,F
Kazuha,Nakamura Kazuha,나카무라 카즈하,카즈하,9/8/2003,LE SSERAFIM,2/5/2022,Source,Japan,,174,,Osaka,,,F
Sakura,Miyawaki Sakura,미야와키 사쿠라,사쿠라,19/03/1998,LE SSERAFIM,2/5/2022,Source,Japan,,,,Kagoshima,,IZ*ONE,F
Yunjin,Huh Yunjin,허윤진,윤진,8/10/2001,LE SSERAFIM,2/5/2022,Source,South Korea,,171,53,,,,F
Alice,Cheon Jaeyoung,천재영,앨리스,20/02/2002,TRACER,3/4/2022,Gleamedia,South Korea,,,,,,,F
Genie,Cho Heejin,조희진,지니,19/03/2002,TRACER,3/4/2022,Gleamedia,South Korea,,,,,,,F
Sowon,Nam Soeun,남소은,소원,13/12/2004,TRACER,3/4/2022,Gleamedia,South Korea,,,,,,,F
Yubeen,Jin Yubeen,진유빈,유빈,5/9/2006,TRACER,3/4/2022,Gleamedia,South Korea,,,,,,,F
Ara,Lee Yunji,이윤지,아라,23/01/2002,ILY:1,4/4/2022,FC ENM,South Korea,,158,,,,,F
Elva,Lee Yonghwa,이용화,엘바,5/5/2003,ILY:1,4/4/2022,FC ENM,South Korea,,,,,,,F
Gijung,Kim Gijung,김기중,기중,24/01/2001,IM,4/4/2022,FC ENM,South Korea,,180,,,,,M
Giseok,Jun Giseok,정기석,기석,2/5/1997,IM,4/4/2022,FC ENM,South Korea,,180,,,,,M
Hana,Hayase Hana,하야세 하나,하나,27/02/2000,ILY:1,4/4/2022,FC ENM,Japan,,165,,,,,F
Nayu,Kim Yewon,김예원,나유,23/07/2002,ILY:1,4/4/2022,FC ENM,South Korea,,,,,,,F
Ririka,Kishida Ririka,키시다 리리카,리리카,2/7/2002,ILY:1,4/4/2022,FC ENM,Japan,,162,,,,,F
Rona,Chang Ching,장찡,로나,5/6/2002,ILY:1,4/4/2022,FC ENM,Taiwan,,165,,Taipei,,,F
Taeeun,Moon Taeeun,문태은,태은,9/2/2000,IM,4/4/2022,FC ENM,South Korea,,175,,,,,M
Eunil,Kim Eunil,김은일,은일,21/11/2003,TRENDZ,5/1/2022,Interpark,South Korea,,,,,,,M
Hankook,Cho Hankook,조한국,한국,3/4/2002,TRENDZ,5/1/2022,Interpark,South Korea,,,,Seoul,,,M
Havit,Lee Havit,이하빛,하빛,7/6/1999,TRENDZ,5/1/2022,Interpark,South Korea,,,,Incheon,,,M
Hwiseo,Jo Hwihyeon,조휘현,화서,31/07/2002,H1-KEY,5/1/2022,GLG,South Korea,,168,,,,,F
Leon,Kim Donghyun,김동현,리온,25/07/2000,TRENDZ,5/1/2022,Interpark,South Korea,,,,,,,M
ra.L,Yi Taehyun,이태현,라엘,29/09/2003,TRENDZ,5/1/2022,Interpark,South Korea,,,,,,,M
Riina,Lee Seunghyeon,이승현,리이나,21/02/2001,H1-KEY,5/1/2022,GLG,South Korea,,172,55,,,,F
Seoi,Lee Yejin,이예진,서이,12/2/2000,H1-KEY,5/1/2022,GLG,South Korea,,169,,,,,F
Yechan,Jeong Yechan,정예찬,예찬,27/10/2005,TRENDZ,5/1/2022,Interpark,South Korea,,,,Seoul,,,M
Yel,Han Shinyoung,한신영,옐,25/12/2004,H1-KEY,5/1/2022,GLG,South Korea,,172,,,,,F
Yoonwoo,Lee Choonghyun,이충현,윤우,28/08/2000,TRENDZ,5/1/2022,Interpark,South Korea,,,,,,,M
Boeun,Park Boeun,박보은,보은,11/2/2008,CLASS:y,5/5/2022,Universal,South Korea,,155,,,,,F
Chaewon,Yoon Chaewon,윤채원,채원,4/6/2003,CLASS:y,5/5/2022,Universal,South Korea,,163,,,,,F
Hyeju,Hong Hyeju,홍혜주,혜주,9/12/2003,CLASS:y,5/5/2022,Universal,South Korea,,166,,Seoul,,,F
Hyungseo,Myeong Hyeongseo,명형서,형서,25/06/2001,CLASS:y,5/5/2022,Universal,South Korea,,160,44,,,Busters,F
Jimin,Won Jimin,원지민,지민,25/11/2007,CLASS:y,5/5/2022,Universal,South Korea,,171,,,,,F
Riwon,Kim Riwon,김리원,리원,11/1/2007,CLASS:y,5/5/2022,Universal,South Korea,,156,,,,,F
Seonyu,Kim Seonyu,김선유,선유,20/03/2008,CLASS:y,5/5/2022,Universal,South Korea,,159,,,,,F
Doa,Im Youngseo,임영서,도아,29/10/2001,We;Na,5/9/2022,Shine E&M,South Korea,,158,44,,,,F
Euna,,,은아,25/05/2003,We;Na,5/9/2022,Shine E&M,South Korea,,164,,,,,F
Wony,Ahn Seungwon,안승원,워니,4/10/2004,We;Na,5/9/2022,Shine E&M,South Korea,,155,,,,,F
Yeonseo,Ryu Yeonseo,류연서,연서,26/09/2004,We;Na,5/9/2022,Shine E&M,South Korea,,158,45,,,,F
I.L,Kim Jiwon,김지원,아이엘,1/7/1997,IRRIS,6/7/2022,Mellow,South Korea,,,,Daegu,,Good Day| RedSquare,F
Liv,Kim Chaeyoung,김채영,리브,5/7/1997,IRRIS,6/7/2022,Mellow,South Korea,,,,Gunsan,,Good Day| RedSquare,F
Nina,Nina Nadia Mateer,니나 나디아 마티어,니나,15/03/2003,IRRIS,6/7/2022,Mellow,Australia,South Korea,174,51,Brisbane,,,F
Yunseul,Hwang Nayoon,황나윤,윤슬,30/03/1999,IRRIS,6/7/2022,Mellow,South Korea,,,,Seoul,,Good Day| RedSquare,F
Eunha,Jung Eunbi,정은비,은하,30/05/1997,VIVIZ,9/2/2022,Big Planet Made,South Korea,,163,,Seoul,,Gfriend,F
SinB,Hwang Eunbi,황은비 ,신비,3/6/1998,VIVIZ,9/2/2022,Big Planet Made,South Korea,,165,,Cheongju,,Gfriend,F
Umji,Kim Yewon,김예원,엄지,19/08/1998,VIVIZ,9/2/2022,Big Planet Made,South Korea,,163,,Incheon,,Gfriend,F
Aria,Baby Gauthami,베이비 고타미,아리아,12/3/2003,X:IN,11/4/2023,Escrow,India,,,,,,,F
Chi.u,Lee Jaeyi,이재이,치유,16/08/1998,X:IN,11/4/2023,Escrow,South Korea,,,,,,,F
E.sha,Kwon Yena,권예나,이샤,29/12/1998,X:IN,11/4/2023,Escrow,Australia,South Korea,,,,,,F
Nova,Maria Pavlovna Emelyanova,마리아 파블로브나 에멜야노바,노바,10/10/2002,X:IN,11/4/2023,Escrow,Russia,,,,Moscow,,,F
Roa,,,로아,,X:IN,11/4/2023,Escrow,South Korea,,,,,,,F
Ahyeon,Jung Ahyeon,정아현,아현,11/4/2007,BABYMONSTER,0/01/1900,YG,South Korea,,,,,,,F
Asa,Enami Asa,에나미 아사,아사,17/04/2006,BABYMONSTER,0/01/1900,YG,Japan,,,,,,,F
Chiquita,Riracha Phondechaphiphat,리라차 폰데차피팟,치키타,17/02/2009,BABYMONSTER,0/01/1900,YG,Thailand,,,,,,,F
Haram,Shin Haram,신하람,하람,17/10/2007,BABYMONSTER,0/01/1900,YG,South Korea,,,,,,,F
Pharita,Pharita Chaikong,파리따 차이콩,파리타,26/08/2005,BABYMONSTER,0/01/1900,YG,Thailand,,,,Bangkok,,,F
